InvoiceId,InvoiceLineId,invoicedate,CustomerId,TrackId,GenreId,ArtistId,BillingCountry,Quantity,UnitPrice,revenue
1,1,2009-01-01,2,2,1,2,Germany,1,0.99,0.99
1,2,2009-01-01,2,4,1,2,Germany,1,0.99,0.99
2,3,2009-01-02,4,6,1,1,Norway,1,0.99,0.99
2,4,2009-01-02,4,8,1,1,Norway,1,0.99,0.99
2,5,2009-01-02,4,10,1,1,Norway,1,0.99,0.99
2,6,2009-01-02,4,12,1,1,Norway,1,0.99,0.99
3,7,2009-01-03,8,16,1,1,Belgium,1,0.99,0.99
3,8,2009-01-03,8,20,1,1,Belgium,1,0.99,0.99
3,9,2009-01-03,8,24,1,3,Belgium,1,0.99,0.99
3,10,2009-01-03,8,28,1,3,Belgium,1,0.99,0.99
3,11,2009-01-03,8,32,1,3,Belgium,1,0.99,0.99
3,12,2009-01-03,8,36,1,3,Belgium,1,0.99,0.99
4,13,2009-01-06,14,42,1,4,Canada,1,0.99,0.99
4,14,2009-01-06,14,48,1,4,Canada,1,0.99,0.99
4,15,2009-01-06,14,54,1,5,Canada,1,0.99,0.99
4,16,2009-01-06,14,60,1,5,Canada,1,0.99,0.99
4,17,2009-01-06,14,66,2,6,Canada,1,0.99,0.99
4,18,2009-01-06,14,72,2,6,Canada,1,0.99,0.99
4,19,2009-01-06,14,78,3,7,Canada,1,0.99,0.99
4,20,2009-01-06,14,84,3,7,Canada,1,0.99,0.99
4,21,2009-01-06,14,90,1,8,Canada,1,0.99,0.99
5,22,2009-01-11,23,99,4,8,USA,1,0.99,0.99
5,23,2009-01-11,23,108,4,8,USA,1,0.99,0.99
5,24,2009-01-11,23,117,5,9,USA,1,0.99,0.99
5,25,2009-01-11,23,126,2,10,USA,1,0.99,0.99
5,26,2009-01-11,23,135,3,11,USA,1,0.99,0.99
5,27,2009-01-11,23,144,3,11,USA,1,0.99,0.99
5,28,2009-01-11,23,153,3,12,USA,1,0.99,0.99
5,29,2009-01-11,23,162,3,12,USA,1,0.99,0.99
5,30,2009-01-11,23,171,4,13,USA,1,0.99,0.99
5,31,2009-01-11,23,180,4,13,USA,1,0.99,0.99
5,32,2009-01-11,23,189,3,14,USA,1,0.99,0.99
5,33,2009-01-11,23,198,6,15,USA,1,0.99,0.99
5,34,2009-01-11,23,207,7,16,USA,1,0.99,0.99
5,35,2009-01-11,23,216,7,16,USA,1,0.99,0.99
6,36,2009-01-19,37,230,7,17,Germany,1,0.99,0.99
7,37,2009-02-01,38,231,7,17,Germany,1,0.99,0.99
7,38,2009-02-01,38,232,7,17,Germany,1,0.99,0.99
